Emotions,Path
neutral,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-01-01.wav
neutral,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-02-01.wav
neutral,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-01-01-02-01-01.wav
neutral,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-01-01-02-02-01.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-02-01-01-01-01.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-02-01-01-02-01.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-01-01.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-02-01.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-01-01.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-02-01.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-01-01.wav
calm,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-02-01.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-01-01.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-02-01.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-03-01-02-01-01.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-03-01-02-02-01.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-03-02-01-01-01.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-03-02-01-02-01.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-03-02-02-01-01.wav
happy,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-03-02-02-02-01.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-04-01-01-01-01.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-04-01-01-02-01.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-01-01.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-02-01.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-04-02-01-01-01.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-04-02-01-02-01.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-04-02-02-01-01.wav
sad,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-04-02-02-02-01.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-05-01-01-01-01.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-05-01-01-02-01.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-05-01-02-01-01.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-05-01-02-02-01.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-01-01.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-02-01.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-05-02-02-01-01.wav
angry,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-05-02-02-02-01.wav
fear,E:/Specch Emotion Detection/dataset/audio_speech_actors_01-24/Actor_01/03-01-06-01-01-01-01.wav
